"1546954599419";"Exploration";"Browsing";"872|119";"ZxdOwjYfXhUcSpDk";"4";"Visual2019-10"
"1546954600699";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"4";"Visual2019-10"
"1546954603527";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"4";"Visual2019-10"
"1546954606055";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"5";"Visual2019-10"
"1546954607130";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"5";"Visual2019-10"
"1546954608162";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"5";"Visual2019-10"
"1546954609712";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"5";"Visual2019-10"
"1546954611200";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"5";"Visual2019-10"
"1546954612640";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"5";"Visual2019-10"
"1546954613648";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"5";"Visual2019-10"
"1546954614679";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"5";"Visual2019-10"
"1546954615679";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"6";"Visual2019-10"
"1546954616680";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"6";"Visual2019-10"
"1546954617711";"Exploration";"Browsing";"ScrollChanged";"ZxdOwjYfXhUcSpDk";"6";"Visual2019-10"
"1546955831980";"TemporalContext";"Browsing";"464|30725";"5YU9rpqbafhaEdVN";"4";"Textual2019-20"
"1546955832458";"VideoSummary";"Browsing";"ScrollChanged";"5YU9rpqbafhaEdVN";"4";"Textual2019-20"
"1546955832476";"TemporalContext";"Browsing";"464|30731";"5YU9rpqbafhaEdVN";"4";"Textual2019-20"
