"Time interval";"B_E1";"B_N1";"B_E2";"B_N2"
0;1;2;2;0
10;0;0;9;0
20;19;0;21;9
30;17;0;48;8
40;58;1;45;0
50;31;7;44;1
60;11;12;17;9
70;5;17;56;14
80;5;11;20;18
90;29;31;24;15
100;28;3;28;20
110;8;41;40;56
120;12;26;18;7
130;9;5;40;1
140;6;12;18;3
150;5;0;5;3
160;3;21;1;3
170;2;17;2;4
180;0;17;3;5
190;1;2;14;2
200;1;5;5;2
210;0;1;0;4
220;1;2;0;12
230;0;28;0;17
240;0;37;0;4
250;0;9;0;2
260;0;12;0;4
270;0;15;0;4
280;0;16;0;14
290;0;8;0;4
