"Time interval";"B_E1";"B_E2"
0;1;2
10;0;73
20;14;109
30;5;141
40;9;134
50;50;142
60;26;88
70;6;142
80;11;139
90;16;146
100;14;62
110;15;78
120;15;33
130;2;16
140;0;19
150;29;6
160;5;34
170;39;19
180;2;22
190;15;26
200;0;28
210;9;26
220;27;31
230;42;30
240;19;30
250;16;50
260;0;44
270;13;47
280;42;24
290;55;46
300;29;63
310;17;18
320;11;10
330;15;21
340;46;42
350;20;6
360;7;20
370;6;15
380;38;10
390;11;10
400;7;33
410;2;16
420;1;13
430;11;80
440;37;42
450;44;25
460;17;79
470;24;85
